staff_name,role,shift_hour,hour_of_shift,active_patients
Dr. Patel,resident,2024-03-15 12:00:00,12,6
Dr. Dana Evans,attending,2024-03-15 12:00:00,12,6
Dr. McKay,resident,2024-03-15 12:00:00,12,4
Dr. Whitfield,attending,2024-03-15 12:00:00,12,3
Dr. Robby Robinavitch,attending,2024-03-15 12:00:00,12,2
Dr. Singh,resident,2024-03-15 13:00:00,13,9
Dr. Morin,attending,2024-03-15 13:00:00,13,8
Dr. Langdon,resident,2024-03-15 13:00:00,13,7
Dr. Patel,resident,2024-03-15 13:00:00,13,6
Dr. Collins,attending,2024-03-15 13:00:00,13,6
Dr. Dana Evans,attending,2024-03-15 13:00:00,13,6
Dr. Robby Robinavitch,attending,2024-03-15 13:00:00,13,6
Dr. McKay,resident,2024-03-15 13:00:00,13,5
Dr. Abbott,attending,2024-03-15 13:00:00,13,5
Dr. Tran,resident,2024-03-15 13:00:00,13,3
Dr. Whitfield,attending,2024-03-15 13:00:00,13,2
Dr. Abbott,attending,2024-03-15 14:00:00,14,9
Dr. Patel,resident,2024-03-15 14:00:00,14,8
Dr. Robby Robinavitch,attending,2024-03-15 14:00:00,14,8
Dr. McKay,resident,2024-03-15 14:00:00,14,7
Dr. Whitfield,attending,2024-03-15 14:00:00,14,5
Dr. Morin,attending,2024-03-15 14:00:00,14,5
Dr. Langdon,resident,2024-03-15 14:00:00,14,5
Dr. Dana Evans,attending,2024-03-15 14:00:00,14,4
Dr. Singh,resident,2024-03-15 14:00:00,14,3
Dr. Tran,resident,2024-03-15 14:00:00,14,3
Dr. Collins,attending,2024-03-15 14:00:00,14,3
Dr. Tran,resident,2024-03-15 15:00:00,15,8
Dr. Morin,attending,2024-03-15 15:00:00,15,7
Dr. McKay,resident,2024-03-15 15:00:00,15,7
Dr. Collins,attending,2024-03-15 15:00:00,15,6
Dr. Langdon,resident,2024-03-15 15:00:00,15,6
Dr. Singh,resident,2024-03-15 15:00:00,15,6
Dr. Abbott,attending,2024-03-15 15:00:00,15,5
Dr. Patel,resident,2024-03-15 15:00:00,15,5
Dr. Whitfield,attending,2024-03-15 15:00:00,15,4
Dr. Dana Evans,attending,2024-03-15 15:00:00,15,3
Dr. Robby Robinavitch,attending,2024-03-15 15:00:00,15,3
Dr. Singh,resident,2024-03-15 16:00:00,16,9
Dr. Dana Evans,attending,2024-03-15 16:00:00,16,7
Dr. McKay,resident,2024-03-15 16:00:00,16,7
Dr. Robby Robinavitch,attending,2024-03-15 16:00:00,16,6
Dr. Whitfield,attending,2024-03-15 16:00:00,16,6
Dr. Abbott,attending,2024-03-15 16:00:00,16,5
Dr. Collins,attending,2024-03-15 16:00:00,16,5
Dr. Tran,resident,2024-03-15 16:00:00,16,5
Dr. Langdon,resident,2024-03-15 16:00:00,16,3
Dr. Morin,attending,2024-03-15 16:00:00,16,1
Dr. Patel,resident,2024-03-15 16:00:00,16,1
Dr. Dana Evans,attending,2024-03-15 17:00:00,17,8
Dr. Singh,resident,2024-03-15 17:00:00,17,5
Dr. Robby Robinavitch,attending,2024-03-15 17:00:00,17,4
Dr. McKay,resident,2024-03-15 17:00:00,17,4
Dr. Langdon,resident,2024-03-15 17:00:00,17,4
Dr. Collins,attending,2024-03-15 17:00:00,17,4
Dr. Tran,resident,2024-03-15 17:00:00,17,3
Dr. Morin,attending,2024-03-15 17:00:00,17,3
Dr. Abbott,attending,2024-03-15 17:00:00,17,3
Dr. Whitfield,attending,2024-03-15 17:00:00,17,2
Dr. Patel,resident,2024-03-15 17:00:00,17,2
Dr. Singh,resident,2024-03-15 18:00:00,18,5
Dr. Patel,resident,2024-03-15 18:00:00,18,4
Dr. Robby Robinavitch,attending,2024-03-15 18:00:00,18,4
Dr. Morin,attending,2024-03-15 18:00:00,18,3
Dr. Collins,attending,2024-03-15 18:00:00,18,3
Dr. Dana Evans,attending,2024-03-15 18:00:00,18,3
Dr. Langdon,resident,2024-03-15 18:00:00,18,3
Dr. McKay,resident,2024-03-15 18:00:00,18,2
Dr. Tran,resident,2024-03-15 18:00:00,18,2
Dr. Abbott,attending,2024-03-15 18:00:00,18,1
Dr. Whitfield,attending,2024-03-15 18:00:00,18,1
Dr. Robby Robinavitch,attending,2024-03-15 19:00:00,19,3
Dr. McKay,resident,2024-03-15 19:00:00,19,3
Dr. Langdon,resident,2024-03-15 19:00:00,19,2
Dr. Dana Evans,attending,2024-03-15 19:00:00,19,2
Dr. Morin,attending,2024-03-15 19:00:00,19,2
Dr. Singh,resident,2024-03-15 19:00:00,19,2
Dr. Patel,resident,2024-03-15 19:00:00,19,1
Dr. Abbott,attending,2024-03-15 19:00:00,19,1
Dr. Whitfield,attending,2024-03-15 19:00:00,19,1
Dr. Collins,attending,2024-03-15 19:00:00,19,1
Dr. Tran,resident,2024-03-15 19:00:00,19,1
Dr. McKay,resident,2024-03-15 20:00:00,20,4
Dr. Tran,resident,2024-03-15 20:00:00,20,3
Dr. Patel,resident,2024-03-15 20:00:00,20,2
Dr. Abbott,attending,2024-03-15 20:00:00,20,2
Dr. Langdon,resident,2024-03-15 20:00:00,20,2
Dr. Whitfield,attending,2024-03-15 20:00:00,20,2
Dr. Singh,resident,2024-03-15 20:00:00,20,2
Dr. Collins,attending,2024-03-15 20:00:00,20,1
Dr. Robby Robinavitch,attending,2024-03-15 20:00:00,20,1
Dr. Dana Evans,attending,2024-03-15 20:00:00,20,1
Dr. Morin,attending,2024-03-15 21:00:00,21,3
Dr. Singh,resident,2024-03-15 21:00:00,21,2
Dr. Collins,attending,2024-03-15 21:00:00,21,2
Dr. Dana Evans,attending,2024-03-15 21:00:00,21,2
Dr. Langdon,resident,2024-03-15 21:00:00,21,2
Dr. McKay,resident,2024-03-15 21:00:00,21,2
Dr. Patel,resident,2024-03-15 21:00:00,21,2
Dr. Whitfield,attending,2024-03-15 21:00:00,21,1
Dr. Tran,resident,2024-03-15 21:00:00,21,1
Dr. Collins,attending,2024-03-15 22:00:00,22,2
Dr. Dana Evans,attending,2024-03-15 22:00:00,22,2
Dr. Tran,resident,2024-03-15 22:00:00,22,1
Dr. Robby Robinavitch,attending,2024-03-15 22:00:00,22,1
Dr. Abbott,attending,2024-03-15 22:00:00,22,1
Dr. Morin,attending,2024-03-15 22:00:00,22,1
Dr. Patel,resident,2024-03-15 22:00:00,22,1
Dr. Abbott,attending,2024-03-15 23:00:00,23,2
Dr. Morin,attending,2024-03-15 23:00:00,23,1
Dr. Tran,resident,2024-03-15 23:00:00,23,1
Dr. Collins,attending,2024-03-16 00:00:00,0,1
Dr. Dana Evans,attending,2024-03-16 00:00:00,0,1
Dr. Singh,resident,2024-03-16 01:00:00,1,1
